"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R31,R5";"R_0805_2012Metric";2;"5.69M";;;
2;",";"";2;"";;;
3;"SUPP_CH,DCDC_CH,DCDC_VALID,SUPP_VALID";"LED_0805_2012Metric";4;"LED";;;
4;"INTVCC,DCDC,CH2,GATE2,OUT,GATE1,SUPP,VALID2,CH1,VALID1,GND,FAULT2,FAULT1";"TestPoint_HEX_3mmID";13;"TestPoint";;;
5;"R29,R9,R3,R7";"R_0805_2012Metric";4;"5.76M";;;
6;"R1,R2";"R_0805_2012Metric";2;"1.2";;;
7;"CQUAL1";"C_0603_1608Metric";1;"500p";;;
8;"H1,H4,H3,H2";"MountingHole_3mm";4;"MountingHole";;;
9;"RSENSE2,RSENSE1";"RESC6432X89N";2;"1m";;;
10;"J5";"Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical";1;"Conn_01x03";;;
11;"Q4,Q1,Q3,Q2";"TO200P800X182-5N";4;"SQJQ140E-T1_GE3";;;
12;"NON-CRITICAL,CRITICAL,DCDC";"Molex_Sabre_43160-0102_1x02_P7.49mm_Vertical";3;"PowerConn";;;
13;"DISABLE1";"PinHeader_1x03_P2.54mm_Vertical";1;"DIS1 Jumper";;;
14;"C1,C4,C2,CTMR1,CTMR2,CMOSFET1,CMOSFET3";"C_0805_2012Metric";7;"10u";;;
15;"D1,D2";"P26_DO-214AA_SMB";2;"SMBJ15D-M3I";;;
16;"COUT1";"EEUFS1C122LB";1;"1.2m";;;
17;"J3";"Molex_Sabre_43160-0102_1x02_P7.49mm_Vertical";1;"PowerConn";;;
18;"C5,C3";"C_0805_2012Metric";2;"0.1u";;;
19;"CINTVCC1,CCPO1";"C_0805_2012Metric";2;"1u";;;
20;"DISABLE2";"PinHeader_1x03_P2.54mm_Vertical";1;"DIS2 Jumper";;;
21;"Q6";"TSOT-23";1;"NMOS";;;
22;"RETRY";"PinHeader_1x03_P2.54mm_Vertical";1;"RETRY Jumper";;;
23;"U3";"PowerSSO-16-1EP_3.9x4.9mm_P0.5mm_EP2.5x3.61mm";1;"VND9016AJ";;;
24;"U2";"G_05-08-1640_ADI";1;"LTC4421CG-PBF";;;
25;"R27,R16,R23,R20,R21,R24,R15,R25,R22,R26,R14,R13,R19,R28";"R_0805_2012Metric";14;"100K";;;
26;"Q7";"PowerPAK_SO-8_Single";1;"PMOS";;;
27;"U4,U5";"SC-74-6_1.55x2.9mm_P0.95mm";2;"74LVC2G07GV,125";;;
28;"Q8";"SOT-23";1;"2N7002";;;
29;"R32,R6";"R_0805_2012Metric";2;"277K";;;
30;"R11";"R_0805_2012Metric";1;"100k";;;
31;"R8,R30";"R_0805_2012Metric";2;"226K";;;
32;"D9,D11";"D_SOD-523";2;"D_Zener";;;
33;"R12";"R_0805_2012Metric";1;"1k";;;
34;"R17";"R_0805_2012Metric";1;"15k";;;
35;"R4,R10";"R_0805_2012Metric";2;"261K";;;
